"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.3310816149309,0.0166212952488021,0.595891714030004,9.95209773991622,11.0541658869768,11.3824334957589,11.6977677797088,12.314452867564,1285.30135367701,1.00360400502555
"kappa_0",0.897635581807499,0.00110520101694769,0.0466963048895161,0.806166518470938,0.865725930804355,0.897961513789554,0.931199647295134,0.983085856077124,1785.18192147998,1.00084158608199
"psi",6.29349074545241e-05,4.00385411646482e-07,2.06076380897726e-05,3.28256702235153e-05,4.85870015993849e-05,5.96618124836868e-05,7.3027611965262e-05,0.000113402107933588,2649.10972463799,1.00095405155471
"rho",1.59495437925185,0.0043692544888454,0.256947569374223,1.1342397849261,1.41777807401803,1.57625031114476,1.7565770070139,2.14475957754602,3458.39301509518,1.00149458469969
"r_d",2.01375249492522e-05,3.33061393698542e-07,1.79608644445245e-05,-1.84131267941243e-05,1.00766880843138e-05,2.09644645295312e-05,3.1494944529779e-05,5.26644965444419e-05,2908.07685700084,0.999599762336096
"deltaYFP",0.329443677294319,0.00121779575381299,0.0628628879064654,0.191926705193241,0.289379499036299,0.335856603009714,0.378814600744207,0.428979960577444,2664.64738240142,1.00009316764136
"Beta",5.39351144615186,0.0122770831810425,0.751628500208357,4.01574602790121,4.86280630557248,5.36507166750529,5.89852936102492,6.93615625081851,3748.14239666745,1.00101480946402
"sigma1",1.04652682333069,0.00265225493688107,0.162781496916347,0.779820097641602,0.931111332899234,1.02934566313088,1.14328376611097,1.41413827780176,3766.86054981658,0.999796138265341
"sigma2",0.643738970214331,0.00173445098940449,0.0974288751669674,0.485993998343416,0.57497237435803,0.633481601776283,0.700324900335573,0.868625615971324,3155.37741194525,1.00019487133536
"sigma3",0.290049862900502,0.000715987141861162,0.0450917519926969,0.217010504181471,0.25773773354576,0.285506761287856,0.317023914387968,0.394490566679124,3966.28368286091,1.00019356099681
"sigma4",0.159035737653616,0.000439899481527887,0.0266994965979169,0.117242983022136,0.139811410608591,0.155235994483062,0.174718049297742,0.220847448799207,3683.82716383056,0.999951804340065
